epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,503.802,0.31609,5.28592,0.32806,0.26784,0.92958,0.99826,1,0.995,0.97928,0.64593,0.64706,0.52878,0.13063,0.25132,4.60897,0.33398,0.27238,0.64068,0.0008912,0.0008912,0.0008912
30,520.814,0.3111,5.11915,0.32631,0.25511,0.92187,0.99823,1,0.995,0.97461,0.46976,0.47059,0.32857,0.07472,0.26936,4.47848,0.32738,0.26441,0.65512,0.0008516,0.0008516,0.0008516
31,537.74,0.28636,5.29395,0.32721,0.26368,0.93175,0.99813,1,0.995,0.98079,0.37112,0.38187,0.23311,0.04643,0.28707,4.87928,0.3177,0.24039,0.62745,0.000812,0.000812,0.000812
32,554.429,0.31183,5.40739,0.3284,0.26884,0.92496,0.99836,1,0.995,0.97956,0.646,0.64706,0.55144,0.16253,0.25285,3.87492,0.32597,0.24869,0.63386,0.0007724,0.0007724,0.0007724
33,571.199,0.29903,4.8643,0.33899,0.24446,0.92411,0.99838,1,0.995,0.98745,0.82219,0.82353,0.79633,0.26422,0.25821,3.75437,0.30489,0.23577,0.61938,0.0007328,0.0007328,0.0007328
34,587.85,0.29537,4.84049,0.31632,0.25235,0.91844,0.99834,1,0.995,0.98624,0.73408,0.73529,0.66437,0.18925,0.25854,3.76,0.31848,0.25719,0.61108,0.0006932,0.0006932,0.0006932
35,604.725,0.26998,4.70389,0.31194,0.23769,0.92702,0.99838,1,0.995,0.99248,0.67538,0.67647,0.54194,0.1692,0.30051,3.71505,0.31531,0.27237,0.62218,0.0006536,0.0006536,0.0006536
36,621.547,0.28645,4.63851,0.30934,0.24427,0.91779,0.99837,1,0.995,0.98158,0.79282,0.79412,0.76591,0.21407,0.24243,3.93716,0.3219,0.25988,0.60002,0.000614,0.000614,0.000614
37,638.273,0.27532,4.52978,0.31241,0.24102,0.919,0.99812,1,0.995,0.98449,0.61648,0.61765,0.51824,0.15014,0.30767,3.94298,0.31598,0.27201,0.64565,0.0005744,0.0005744,0.0005744
38,654.835,0.26979,4.45472,0.3248,0.23928,0.91201,0.99826,1,0.995,0.98726,0.88082,0.88235,0.88324,0.28618,0.27049,3.50763,0.31291,0.24101,0.62537,0.0005348,0.0005348,0.0005348
39,671.972,0.26509,4.24741,0.30304,0.24402,0.92116,0.99842,1,0.995,0.98084,0.76394,0.76471,0.77376,0.23429,0.27336,3.56768,0.30606,0.22803,0.61758,0.0004952,0.0004952,0.0004952
40,690.176,0.27409,4.30975,0.3149,0.23915,0.91905,0.9984,1,0.995,0.98253,0.76388,0.76471,0.72235,0.21072,0.25351,3.7179,0.30687,0.24222,0.60496,0.0004556,0.0004556,0.0004556
41,707.2,0.29861,3.69208,0.33661,0.37319,0.96686,0.99816,1,0.995,0.95097,0.69514,0.61765,0.61075,0.18033,0.37103,3.87237,0.30973,0.30628,0.63335,0.000416,0.000416,0.000416
42,723.566,0.25193,3.60076,0.32074,0.24794,0.91112,0.99842,1,0.995,0.9811,0.64601,0.64706,0.48096,0.1472,0.33923,3.65549,0.3233,0.32432,0.66429,0.0003764,0.0003764,0.0003764
43,739.932,0.23183,3.20223,0.31286,0.22345,0.88535,0.99843,1,0.995,0.97968,0.85158,0.85294,0.80456,0.27508,0.32808,3.38817,0.33851,0.31263,0.66102,0.0003368,0.0003368,0.0003368
44,755.929,0.21645,3.28829,0.2986,0.20321,0.88398,0.99849,1,0.995,0.98794,0.82296,0.82353,0.78007,0.26052,0.29798,3.41063,0.30934,0.28435,0.62439,0.0002972,0.0002972,0.0002972
45,771.773,0.21568,2.91815,0.27802,0.19131,0.89633,0.99854,1,0.995,0.98693,0.8223,0.82353,0.79256,0.26079,0.27232,3.18712,0.29842,0.23251,0.60808,0.0002576,0.0002576,0.0002576
46,787.403,0.20195,3.13782,0.30056,0.18486,0.87326,0.99851,1,0.995,0.98446,0.91041,0.91176,0.89273,0.43781,0.29005,2.86815,0.28152,0.2604,0.64192,0.000218,0.000218,0.000218
47,803.452,0.20227,2.91526,0.27993,0.18032,0.87326,0.99851,1,0.995,0.98863,0.88162,0.88235,0.85714,0.39965,0.26862,2.73777,0.26019,0.25347,0.63055,0.0001784,0.0001784,0.0001784
48,820.045,0.18977,2.87398,0.25533,0.17609,0.88958,0.99844,1,0.995,0.98453,0.91034,0.91176,0.87006,0.42556,0.27351,2.77684,0.25237,0.24405,0.63019,0.0001388,0.0001388,0.0001388
49,836.344,0.18338,2.75497,0.26179,0.17381,0.87848,0.99841,1,0.995,0.98902,0.91032,0.91176,0.8798,0.42127,0.28896,2.74336,0.24951,0.23858,0.63535,9.92e-05,9.92e-05,9.92e-05
50,853.476,0.17883,2.65809,0.25087,0.16996,0.87764,0.99846,1,0.995,0.98887,0.91092,0.91176,0.90636,0.39971,0.2894,2.80285,0.24559,0.24025,0.63369,5.96e-05,5.96e-05,5.96e-05
