epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.512,1.13159,10.6775,0.6816,1.38058,1.64312,0.99039,1,0.995,0.82863,0,0,0,0,0.62172,11.8801,0.68053,0.94916,1.10133,0.0003,0.0003,0.0003
2,310.53,0.55665,10.4072,0.61288,0.46743,1.17651,0.93653,1,0.995,0.8506,0,0,0,0,0.6192,11.9126,0.71964,1.25563,1.14439,0.000607724,0.000607724,0.000607724
3,332.922,0.51386,10.1041,0.54809,0.4413,1.14121,0.5753,0.87661,0.82991,0.42668,0,0,0,0,1.7269,11.4861,0.69642,3.71277,2.2698,0.000902776,0.000902776,0.000902776
4,354.866,0.55791,10.1275,0.50566,0.47953,1.17893,0.93494,0.85294,0.88242,0.76083,0,0,0,0,0.63172,11.2957,0.76042,1.74298,1.0506,0.00118516,0.00118516,0.00118516
5,375.743,0.57341,9.89757,0.46383,0.51499,1.20791,0.14585,0.52941,0.17004,0.06709,0,0,0,0,2.62555,11.1546,0.77276,14.903,3.08332,0.00145486,0.00145486,0.00145486
6,395.97,0.57343,10.0296,0.44927,0.52235,1.16677,0.58477,0.79412,0.757,0.42758,0,0,0,0,1.43909,10.8572,1.38183,2.83418,2.09589,0.0017119,0.0017119,0.0017119
7,415.96,0.59153,9.70197,0.43755,0.51269,1.18857,0.88087,0.88235,0.94609,0.64152,0,0,0,0,1.36496,10.884,1.38863,2.02994,1.96522,0.0017624,0.0017624,0.0017624
8,435.855,0.57037,9.19989,0.41352,0.47038,1.17413,0.57508,0.94118,0.76148,0.43931,0,0,0,0,2.17261,11.1519,1.07518,3.03838,2.89509,0.0017228,0.0017228,0.0017228
9,454.806,0.51394,9.02106,0.39308,0.47174,1.12705,0.65156,1,0.92056,0.38271,0,0,0,0,2.06032,10.2183,0.53971,4.38885,2.16655,0.0016832,0.0016832,0.0016832
10,474.011,0.47254,8.87275,0.39283,0.41912,1.0945,0.91867,0.99671,0.97604,0.77157,0,0,0,0,0.6589,10.4882,1.35049,0.66061,0.98928,0.0016436,0.0016436,0.0016436
11,493.113,0.4865,8.45829,0.37871,0.44335,1.09865,0.96024,1,0.99357,0.92441,0,0,0,0,0.53582,10.9323,0.5819,0.49279,0.90328,0.001604,0.001604,0.001604
12,513.257,0.44819,8.52309,0.37284,0.41576,1.08863,0.91863,0.99623,0.97258,0.81708,0.02796,0.05882,0.00516,0.00222,0.7061,9.43964,0.44348,0.89942,1.11941,0.0015644,0.0015644,0.0015644
