epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1602,1.3213,11.1382,0.68834,1.51789,1.67347,0.99511,1,0.995,0.90891,0,0,0,0,0.55024,11.7425,0.68483,0.6404,0.87431,0.0003,0.0003,0.0003
2,49.8317,0.59075,10.8558,0.63219,0.41269,1.09684,0.99798,1,0.995,0.88068,0,0,0,0,0.6894,11.7714,0.68883,1.22108,1.0947,0.000607724,0.000607724,0.000607724
3,71.8222,0.57194,10.5427,0.58,0.39945,1.07822,0.99733,1,0.995,0.77163,0,0,0,0,0.762,11.2582,0.63703,1.05293,1.36852,0.000902776,0.000902776,0.000902776
4,91.3746,0.54786,10.2883,0.54501,0.39444,1.06136,0.9957,1,0.995,0.90935,0,0,0,0,0.4821,11.0616,0.58492,0.82113,0.8324,0.00118516,0.00118516,0.00118516
